parcl_property_id,event_type,event_name,event_date,price,address,city,county_name,BG_ID,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built,price_sf
198565723,SALE,SOLD,2023-05-08,560000.0,471 PURCELL RD,,Banks,130119702002,34.372312,-83.418735,Single family,5.0,4.0,3675.0,2022.0,152.38095238095238
198277737,SALE,SOLD,2023-07-07,375000.0,6608 RIVER STATION DR,,Banks,130119703001,34.377724,-83.599625,Single family,4.0,2.5,2340.0,2022.0,160.25641025641025
197750972,SALE,SOLD,2023-05-16,391500.0,6604 RIVER STATION DR,,Banks,130119703001,34.377724,-83.599625,Single family,4.0,2.5,2600.0,2022.0,150.57692307692307
197279513,SALE,SOLD,2024-10-18,430000.0,746 WILBANKS RD,,Banks,130119701001,34.447468,-83.57953,Single family,4.0,3.5,2764.0,2022.0,155.57163531114327
167576410,SALE,SOLD,2024-02-13,225000.0,1350 MCCOY BRIDGE RD,,Banks,130119702003,34.314628,-83.463374,Single family,3.0,2.0,1500.0,2023.0,150.0
167576410,SALE,SOLD,2024-01-25,340000.0,1350 MCCOY BRIDGE RD,,Banks,130119702003,34.314628,-83.463374,Single family,3.0,2.0,1500.0,2023.0,226.66666666666666
132148171,SALE,SOLD,2023-11-13,336500.0,155 WATERFORD GLEN DR,Lula City,Banks,130119703001,34.394235,-83.654378,Single family,4.0,3.0,1731.0,2020.0,194.39630271519354
121593688,SALE,SOLD,2023-09-20,495000.0,187 CLASSIC OVERLOOK,Homer Town,Banks,130119702001,34.352108,-83.4816,Single family,3.0,2.0,1983.0,2021.0,249.62178517397882
121593688,SALE,SOLD,2023-09-15,495000.0,187 CLASSIC OVERLOOK,Homer Town,Banks,130119702001,34.352108,-83.4816,Single family,3.0,2.0,1983.0,2021.0,249.62178517397882
453618666,SALE,SOLD,2024-05-21,275625.0,108 GREENVIEW CT,,Banks,130119702002,34.35702,-83.461235,Other,3.0,2.5,1296.0,2024.0,212.67361111111111
453470021,SALE,SOLD,2024-05-30,285000.0,143 DYER RD,,Banks,130119703001,34.350027,-83.601334,Other,3.0,2.0,1475.0,2024.0,193.22033898305085
434338580,SALE,SOLD,2024-02-21,245000.0,150 SAWTOOTH PL,,Banks,130119702002,34.416922,-83.405274,Other,3.0,2.0,1560.0,2023.0,157.05128205128204
434338580,SALE,SOLD,2023-07-06,890000.0,150 SAWTOOTH PL,,Banks,130119702002,34.416922,-83.405274,Other,3.0,2.0,1560.0,2023.0,570.5128205128206
434170429,SALE,SOLD,2024-01-26,275000.0,159 DYER RD,,Banks,130119703001,34.3508431,-83.6006487,Other,3.0,2.0,1475.0,2023.0,186.4406779661017
279860937,SALE,SOLD,2024-02-22,274900.0,598 GARLAND WHITE RD,,Banks,130119701004,34.425166,-83.607215,Other,3.0,2.0,1560.0,2023.0,176.21794871794873
279860937,SALE,SOLD,2023-05-01,55000.0,598 GARLAND WHITE RD,,Banks,130119701004,34.425166,-83.607215,Other,3.0,2.0,1560.0,2023.0,35.256410256410255
199118018,SALE,SOLD,2024-01-23,669000.0,2775 YONAH HOMER RD,,Banks,130119702004,34.38302,-83.549736,Other,4.0,2.0,1475.0,2021.0,453.5593220338983
199013339,SALE,SOLD,2024-06-04,279300.0,120 GREENVIEW CT,Homer Town,Banks,130119702001,34.362576,-83.490744,Other,3.0,2.5,1384.0,2023.0,201.8063583815029
199013339,SALE,SOLD,2022-12-29,890000.0,120 GREENVIEW CT,Homer Town,Banks,130119702001,34.362576,-83.490744,Other,3.0,2.5,1384.0,2023.0,643.0635838150289
199010834,SALE,SOLD,2024-03-28,275775.0,118 GREENVIEW CT,Homer Town,Banks,130119702001,34.362576,-83.490744,Other,3.0,2.5,1296.0,2023.0,212.78935185185185
198852994,SALE,SOLD,2024-05-09,404305.0,261 EAGLE HEIGHTS DR,,Banks,130119703003,34.30258,-83.544685,Other,4.0,3.0,2316.0,2023.0,174.57037996545768
110132768,SALE,SOLD,2024-08-30,145000.0,2511 SAMPLES SCALES RD,,Banks,130119702001,34.396906,-83.49619,Other,2.0,1.0,765.0,2020.0,189.54248366013073
110132768,SALE,SOLD,2023-09-27,67000.0,2511 SAMPLES SCALES RD,,Banks,130119702001,34.396906,-83.49619,Other,2.0,1.0,765.0,2020.0,87.58169934640523
72169657,SALE,SOLD,2024-05-14,295000.0,499 SCALES CREEK RD,Homer Town,Banks,130119702001,34.35324,-83.49063,Other,4.0,2.0,1904.0,2020.0,154.93697478991598
